x,y
3.336976190049359,5.599742689419659
3.6033194452986406,3.9152397912670267
3.8456967850199764,7.9075514956328865
2.6056214827188273,5.8276959278126474
9.201245713917503,5.395059419335001
4.186862472083851,4.287634219047317
7.225993596953769,7.526265259733723
4.678718531639977,8.000717922645448
2.339468771405191,2.670679037867992
9.048564512725498,1.9789454383609295
2.981895589336643,6.2078041728463305
8.722168726974282,9.394852653934786
2.437132901097291,8.034516939606872
8.121491282368863,9.190690636664225
6.667380233023828,6.429989436463263
4.062180777270567,4.781020388759972
6.102092792315753,9.891013801241787
6.266688100940585,5.876616293208933
5.716129784240778,9.771283891496807
0.4227464633555844,3.7095254525473322
9.187234682211539,4.3413915843215145
